Designator,Quantity,Original Part,Matched Part Number,Selected Offers,Total Price
"C61, C66, C69",3,1uF/16V,C0402C105K4PAC7411,Mouser 80-C0402C105K4P7411,0.33
"J1, J8, J10, J11, J14",5,Conn_01x03_Pin,Conn_01x03_Pin,,
"U3, U4, U5, U9, U10, U11, U12",7,ULC0524P,TVU3V3U4S-DFN2510-10LDG,DigiKey 3526-TVU3V3U4S-DFN2510-10LDGCT-ND,1.74
BT1,1,Battery_Cell,Battery Holder ,Do not place,
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C48, C52, C54, C58, C60, C70, C71, C78, C79, C84",35,100nF/50V,GRM155R71H104KE14D,Mouser 81-GRM155R71H104KE4D,0.595
"R51, R76, R77",3,100K/1%,RC0402FR-07100KP,Mouser 603-RC0402FR-07100KP,0.18
"C31, C32, C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86, C87, C88, C89",18,22uF/10V,GRM188R61A226ME15J,Mouser 81-GRM188R61A226ME5J,1.6
"D12, D13, D14",3,PESD24VS1UL-N,"PESD24VS1UL,315",Mouser 771-PESD24VS1UL315,0.42
"R7, R8, R9, R10, R13, R14, R16, R17, R24, R25",10,470R/1%,RC0402FR-07470RL,Mouser 603-RC0402FR-07470RL,0.08
R57,1,75K/1%,ERJ-2RKF7502X,DigiKey P75.0KLDKR-ND,0.1
"Q1, Q8",2,2N7002,2N7002,Newark 58K9651,0.278
U6,1,RTL8111H-CG-RH,RTL8111H-CG,LCSC RTL8111H,1.97
"C102, C103, C104, C105, C106, C107, C108, C109, C113, C114, C115, C116, C117, C118, C119, C120",16,.01uF,C0402C103K3REC7411,Mouser 80-C0402C103K3RECLR,0.896
"J84, J85, J86, J87",4,678005005,678005005,DigiKey WM19104-ND,4.36
"R1, R11, R37, R47",4,1K/1%,RC0402FR-131KL,Mouser 603-RC0402FR-131KL,0.07
D24,1,3V3 Izt=5mA,NSR0530HT1G,Newark 75Y1884,0.013
"R80, R81, R82, R83",4,22K,RC0402FR-0722KL,Arrow Electronics RC0402FR-07 22KL,0.0024
"D15, D16, D17, D18, D19, D20",6,SS54,SS54,Newark 90R9197,1.54
"F78, F79, F80, F81",4,6V/1A,SMD0805B100TFT,Avnet 65AK0499,0.5
"C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C111",13,0.1u,AC0402KRX7R7BB104,Arrow Electronics AC0402KRX7R7BB104,0.1638
"R89, R90, R91, R92, R93",5,15R/1%,RC0402FR-0715RL,Mouser 603-RC0402FR-0715RL,0.07
"D1, D2, D3, D5, D6, D7, D8, D10, D11, D21, D25",11,ESD5V0B03,GG040205100N2P,Mouser 581-GG040205100N2P,1.4
"U15, U16",2,SY8253ADC,SY8253ADC,LCSC SY8253ADC,1.84
"C49, C50, C55, C56",4,220nF/50V,GRM155R61H224KE01W,Mouser 81-GRM15R61H224KE01W,0.4
Y78,1,Crystal_GND24,ABM8-20.000MHZ-D1G-T,DigiKey 535-ABM8-20.000MHZ-D1G-TCT-ND,0.43
"R2, R20, R21, R34, R35, R36, R49, R58, R95",9,10K/1%,RC0402FR-0710KP,Newark 49AK1221,0.036
"J7, J9, J12, J13",4,Conn_01x04_Pin,Conn_01x04_Pin,,
"J82, J83",2,USB_A,USB1046-GF-0190-L-B-A,Mouser 640-USB1046GF0190LBA,1.46
F4,1,6V/2A,MF-PSML200/6-2,Mouser 652-MF-PSML200/6-2,1.16
R88,1,0R,RC0402FR-070RL,Mouser 603-RC0402FR-070RL,0.02
"L1, L2",2,2.2uH/4.3A,PA4332.222NLT,Newark 51AK2977,0.35
"D9, D22",2,LED_G,150060GS75000,Mouser 710-150060GS75000,0.3
"R46, R48, R55, R69",4,100R/1%,RC0402FR-10100RL,Arrow Electronics RC0402FR-10100RL,0.063
"R6, R59, R68",3,21.5K/1%,RMCF0402FT21K5,Mouser 708-RMCF0402FT21K5,0.11
"R84, R86",2,12K1 1%,RC0402FR-0712K1L,Newark 82AH7868,0.07
R94,1,120K/1%,AF0402FR-07120KL,Mouser 603-AF0402FR-07120KL,0.1
"R78, R79",2,10K/1%,RC0402FR-0710KP,Newark 49AK1221,0.008
"R3, R5, R15, R18, R19, R30, R52, R53",8,2.2K/1%,RC0402FR-072K2P,Newark 49AK1315,0.016
C121,1,22uF/6.3V,GRM158R60J226ME01D,Mouser 81-GRM158R60J226ME1D,0.36
"C46, C47",2,12pF/50V,GRM1555C1H120JA01D,DigiKey 490-5924-1-ND,0.2
R85,1,4.7K/1%,AF0402FR-074K7L,Mouser 603-AF0402FR-074K7L,0.1
J88,1,Conn_01x03_Pin,Conn_01x03_Pin,,
"SW1, SW2",2,SW_Push,TS04-66-55-BK-100-SMT,Arrow Electronics TS04-66-55-BK-100-SMT,0.0878
J3,1,HDMI_A,208658-1001,Mouser 538-208658-1001,2.66
"J79, J81",2,USB_C_Receptacle_USB2.0_16P,DX07S016JA1R1500,Mouser 656-DX07S016JA1R1500,3.34
"R27, R29, R32, R33",4,0R/1%,RC0402FR-070RL,Mouser 603-RC0402FR-070RL,0.02
C122,1,0.1uF/16V,GCM155R71C104KA55J,Mouser 81-GCM155R71C104KA5J,0.1
"C44, C51, C53, C57, C59",5,10uF/10V,GRM155R61A106ME11D,Newark 62AK1691,0.2
"D4, D26",2,1N5819WS,1N5819WS,,
R87,1,1K/1%,RC0402FR-131KL,Mouser 603-RC0402FR-131KL,0.07
