Designator,Quantity,Original Part,Matched Part Number,Selected Offers,Total Price
A1,1,SODIMM,2309411-1,Arrow Electronics 2309411-1,1.41
R22,1,2.49K/1%,RC0603FR-072K49L,Arrow Electronics RC0603FR-072K49L,0.0182
Y1,1,25MHz,TSX-3225 25.0000MF10P-C0,Mouser 732-322525F10PC0,0.39
C112,1,15p,CC0402JRNPO9BN150,Arrow Electronics CC0402JRNPO9BN150,0.0634
U14,1,CH224K,CH224K,,
"U1, U2",2,TPAZ1023-04F,TVU3V3U4S-DFN2510-10LDG,DigiKey 3526-TVU3V3U4S-DFN2510-10LDGCT-ND,0.56
J16,1,Bus_M.2_Socket_E,MDT420E02001,Newark 27AJ3777,1.45
F1,1,6V/50mA,SMD0603B050TF,Newark 65AK0495,0.065
"Q2, Q3, Q4",3,2SK3018,2SK3018,,
J15,1,Bus_M.2_Socket_M,MDT420M02001,Mouser 523-MDT420M02001,1.98
"R60, R72",2,4.7K/1%,AF0402FR-074K7L,Mouser 603-AF0402FR-074K7L,0.19
JP1,1,Jumper_3_Bridged12,Jumper_3_Bridged12,,
D79,1,D_Schottky,ESD9B3.3ST5G,Newark 44X6627,0.033
F5,1,6V/2A,MF-PSML200/6-2,Mouser 652-MF-PSML200/6-2,1.16
C110,1,10u,CL21A106KPFNNNE,Mouser 187-CL21A106KPFNNNE,0.1
"J78, J80",2,USB3_A,692122030100,Mouser 710-692122030100,6.76
"R4, R23",2,1M/1%,RC0402FR-131ML,Arrow Electronics RC0402FR-131ML,0.059
U79,1,W25Q128JVS,W25Q128JVSIM,Arrow Electronics W25Q128JVSIM,1.54
J17,1,Barrel_Jack_Switch,694106301002,Mouser 710-694106301002,0.92
J6,1,RJ45_RB1-125B8G1A,RB1-125BAG1A,LCSC RJ45,1.89
R43,1,56K/1%,ERJ-2RKF5602X,Newark 64R5294,0.004
J18,1,USB_C_Receptacle_USB2.0,DX07S016JA1R1500,Mouser 656-DX07S016JA1R1500,1.67
U78,1,ASM1061,SI-MPE40095,AliExpress ASM1061,2.52
D78,1,LED Yellow,LS Q976-NR-1-0-20-R18,DigiKey 475-LSQ976-NR-1CT-ND,0.14
L78,1,4.7u,DFE252012P-4R7M=P2,Mouser 81-DFE252012P-4R7MP2,0.22
A1,1,Lattepanda Mu,,DFRobot LattePanda Mu,139
PCB,5,PCB,,jlcpcb.com,36.3
Stencil,1,Stencil,,jlcpcb.com,7
Shipping,,,JLCPCB+LCSC+Mouser+Digikey,"(32.8, 15.45, 7.99, 6.99)",63.23
,,,,,298.4816
