Designator,Mid X,Mid Y,Rotation,Layer
Q3,222.6,-73.3125,270.0,top
Q4,229.5,-81.0125,270.0,top
Q8,276.0225,-110.9,0.0,top
R1,172.61,-98.475,180.0,top
R10,215.75,-74.475,270.0,top
R11,225.45,-76.35,90.0,top
R13,214.75,-74.475,270.0,top
R14,213.225,-74.475,270.0,top
R15,222.375,-76.35,270.0,top
R16,212.225,-74.475,270.0,top
R17,210.725,-74.465,270.0,top
R18,222.59,-70.775,180.0,top
R19,228.175,-84.175,90.0,top
R2,239.975,-81.275,180.0,top
R20,186.19115,-94.75,90.0,top
R21,187.16615,-94.75,90.0,top
R22,194.04115,-85.425,180.0,top
R23,191.942669,-89.575793,270.0,top
R24,194.025,-79.22,270.0,top
R25,183.725,-79.185,270.0,top
R27,150.14,-118.5,180.0,top
R29,157.625,-119.085,270.0,top
R3,225.5,-73.35,180.0,top
R30,134.125,-115.135,270.0,top
R32,180.525,-105.949,0.0,top
R33,179.225,-118.94,270.0,top
R34,181.2,-118.935,270.0,top
R35,180.225,-118.935,90.0,top
R36,159.747387,-66.351,270.0,top
R37,157.375,-64.95,0.0,top
R4,227.4,-76.8,270.0,top
R43,160.825,-66.36,90.0,top
R46,278.975,-112.15,180.0,top
R47,278.975,-113.15,180.0,top
R48,279.215,-163.35,180.0,top
R49,277.025,-113.15,0.0,top
R5,223.325,-78.06,270.0,top
R51,278.98,-111.15,180.0,top
R52,279.86,-108.525,180.0,top
R53,239.975,-82.325,180.0,top
R55,279.225,-178.225,180.0,top
R57,268.1,-84.665,90.0,top
R58,269.075,-84.665,270.0,top
R59,258.288999,-86.935,270.0,top
R6,226.45,-76.35,90.0,top
R60,257.288999,-86.935,90.0,top
R68,276.375,-97.525,90.0,top
R69,278.665,-96.05,0.0,top
R7,219.75,-74.475,270.0,top
R72,279.45,-99.66,90.0,top
R76,219.225,-95.34,90.0,top
R77,220.225,-95.34,90.0,top
R78,192.45,-110.65,90.0,top
R79,193.575,-110.65,90.0,top
R8,218.275,-74.475,270.0,top
R80,247.31,-187.91,270.0,top
R81,250.31,-187.91,270.0,top
R82,261.79,-187.9,270.0,top
R83,264.79,-187.9,270.0,top
R84,206.225,-136.225,90.0,top
R85,207.7,-148.75,90.0,top
R86,201.975,-148.05,0.0,top
R87,208.175,-150.325,180.0,top
R88,227.5375,-87.49,0.0,top
R89,240.0225,-90.04,0.0,top
R9,217.275,-74.48,270.0,top
R90,240.0375,-91.315,180.0,top
R91,227.5375,-88.765,0.0,top
R92,227.5375,-90.04,0.0,top
R93,240.0225,-88.765,180.0,top
R94,231.8,-85.725,180.0,top
R95,232.925,-79.325,90.0,top
SW1,283.775,-161.85,90.0,top
SW2,283.775,-174.8,90.0,top
U1,213.75,-70.0625,90.0,top
U10,203.925,-180.3525,90.0,top
U11,194.75,-178.4125,90.0,top
U12,200.9,-180.3525,90.0,top
U14,156.319774,-69.876,270.0,top
U15,270.075,-87.725,90.0,top
U16,256.313999,-83.9375,270.0,top
U2,216.75,-70.0625,90.0,top
U3,264.0,-78.4575,270.0,top
U4,255.79,-182.86,90.0,top
U5,246.038999,-78.5125,270.0,top
U6,187.96615,-89.45,0.0,top
U78,205.45,-143.3,180.0,top
U79,233.775,-89.4,270.0,top
U9,191.75,-178.4125,90.0,top
Y1,194.242669,-89.350793,90.0,top
Y78,195.225,-142.3,90.0,top
